id,stemmed
119,"['abis', 'nyaring', 'maserasi', 'day', 'sekian', 'kek', 'kobam', 'ngehirup', 'etanol', 'plss', 'enakk', 'lupa', 'pake', 'maskerr']"
120,"['kembar', 'etanol']"
121,"['gin', 'anggap', 'aja', 'full', 'etanol', 'kendara', 'kudu', 'seragam', 'mesin', 'khusus', 'etanol', 'ladang', 'tebu', 'pabrik', 'etanol', 'boiboibos', 'jerami', 'tipu', 'produksi', 'etanol', 'tebu', 'jagung']"
122,"['awas', 'batenol', 'bahlil', 'etanol']"
123,"['opini', 'jelek', 'ajg', 'kaya', 'etanol']"
124,['etanol']
125,"['bisaa', 'bang', 'oplos', 'nya', 'pake', 'etanol']"
126,"['etanol', 'pakai', 'mesin', 'bensin', 'bensin', 'campur', 'etanol', 'aman', 'tinggal', 'atur', 'konfigurasi', 'ecu', 'browsing']"
127,"['cosrx', 'toner', 'aha', 'bha', 'toner', 'tipe', 'spray', 'bsa', 'taruh', 'kapas', 'jenis', 'exfo', 'toner', 'gentle', 'udah', 'fragrance', 'free', 'paraben', 'etanol', 'hypoallergenic']"
128,"['anjir', 'shaotang', 'mabok', 'pake', 'alkohol', 'bener', 'pake', 'etanol', 'orgilism', 'baddie', 'pas', 'ngelawan', 'bunuh', 'bayar', 'shin', 'cekikik', 'mampu', 'pas', 'mabok', 'bjil']"
129,"['etanol', 'tebu', 'sejahtera', 'konflik', 'rusa', 'lingkung', 'kenal', 'risiko', 'deforestasi', 'hakadat', 'biofuel']"
130,"['proker', 'etanol', 'hasil', 'bakar', 'dekanat']"
131,"['untung', 'energi', 'hijau', 'etanol', 'simak', 'analisis', 'kritis', 'masyarakat', 'sipil', 'socialimpact', 'greenwashing', 'lingkung']"
132,"['sulut', 'api', 'pas', 'ngoplos', 'etanol']"
133,"['ntah', 'lab', 'etanol', 'langka', 'bet']"
134,"['nyebut', 'etanol', 'sawit', 'jam']"
135,"['blm', 'tau', 'nikmat', 'minum', 'etanol']"
136,"['hai', 'visi', 'prabowo', 'bikin', 'papua', 'pusat', 'energi', 'nasional', 'emang', 'serius', 'fokus', 'biofuel', 'sawit', 'tebu', 'biodiesel', 'etanol', 'plus', 'hydro', 'solar', 'geothermal', 'swasembada', 'kurang', 'impor', 'bbm', 'hemat', 'rupiah', 'triliun', 'manfaat', 'kerja', 'lokal', 'ekonomi', 'kritik', 'greenpeace']"
